OptiLayer Substrate/Incident/Exit Medium Report, version: 15.12
15.01.2023 17:25:26
Root directory:    c:\users\public\documents\optilayer_2021-dez\
Problem directory: VPT_NBPF-656nm_LEE-2
**********************************************************

Units: L: nm, Sp: nm

Substrate/Incident/Exit Medium file: B 270 actual
Comment: valid range: 300 nm to 2500 nm

  n given by the dispersion table (linear interpolation)
  k given by the dispersion table (linear interpolation)
 Wavelength       n            k
 1076.0000    1.512217    0.0000000000
 1077.0000    1.512204    0.0000000000
 1078.0000    1.512192    0.0000000000
 1079.0000    1.512180    0.0000000000
 1080.0000    1.512167    0.0000000000
 1081.0000    1.512155    0.0000000000
 1082.0000    1.512143    0.0000000000
 1083.0000    1.512130    0.0000000000
 1084.0000    1.512118    0.0000000000
 1085.0000    1.512106    0.0000000000
 1086.0000    1.512093    0.0000000000
 1087.0000    1.512081    0.0000000000
 1088.0000    1.512069    0.0000000000
 1089.0000    1.512057    0.0000000000
 1090.0000    1.512044    0.0000000000
 1091.0000    1.512032    0.0000000000
 1092.0000    1.512020    0.0000000000
 1093.0000    1.512008    0.0000000000
 1094.0000    1.511995    0.0000000000
 1095.0000    1.511983    0.0000000000
 1096.0000    1.511971    0.0000000000
 1097.0000    1.511959    0.0000000000
 1098.0000    1.511947    0.0000000000
 1099.0000    1.511935    0.0000000000
 1100.0000    1.511923    0.0000000000
 1101.0000    1.511910    0.0000000000
 1102.0000    1.511898    0.0000000000
 1103.0000    1.511886    0.0000000000
 1104.0000    1.511874    0.0000000000
 1105.0000    1.511862    0.0000000000
 1106.0000    1.511850    0.0000000000
 1107.0000    1.511838    0.0000000000
 1108.0000    1.511826    0.0000000000
 1109.0000    1.511814    0.0000000000
 1110.0000    1.511802    0.0000000000
 1111.0000    1.511790    0.0000000000
 1112.0000    1.511778    0.0000000000
 1113.0000    1.511766    0.0000000000
 1114.0000    1.511754    0.0000000000
 1115.0000    1.511742    0.0000000000
 1116.0000    1.511730    0.0000000000
 1117.0000    1.511718    0.0000000000
 1118.0000    1.511706    0.0000000000
 1119.0000    1.511694    0.0000000000
 1120.0000    1.511682    0.0000000000
 1121.0000    1.511671    0.0000000000
 1122.0000    1.511659    0.0000000000
 1123.0000    1.511647    0.0000000000
 1124.0000    1.511635    0.0000000000
 1125.0000    1.511623    0.0000000000
 1126.0000    1.511611    0.0000000000
 1127.0000    1.511599    0.0000000000
 1128.0000    1.511588    0.0000000000
 1129.0000    1.511576    0.0000000000
 1130.0000    1.511564    0.0000000000
 1131.0000    1.511552    0.0000000000
 1132.0000    1.511540    0.0000000000
 1133.0000    1.511529    0.0000000000
 1134.0000    1.511517    0.0000000000
 1135.0000    1.511505    0.0000000000
 1136.0000    1.511493    0.0000000000
 1137.0000    1.511482    0.0000000000
 1138.0000    1.511470    0.0000000000
 1139.0000    1.511458    0.0000000000
 1140.0000    1.511446    0.0000000000
 1141.0000    1.511435    0.0000000000
 1142.0000    1.511423    0.0000000000
 1143.0000    1.511411    0.0000000000
 1144.0000    1.511400    0.0000000000
 1145.0000    1.511388    0.0000000000
 1146.0000    1.511376    0.0000000000
 1147.0000    1.511365    0.0000000000
 1148.0000    1.511353    0.0000000000
 1149.0000    1.511341    0.0000000000
 1150.0000    1.511330    0.0000000000
 1151.0000    1.511318    0.0000000000
 1152.0000    1.511307    0.0000000000
 1153.0000    1.511295    0.0000000000
 1154.0000    1.511283    0.0000000000
 1155.0000    1.511272    0.0000000000
 1156.0000    1.511260    0.0000000000
 1157.0000    1.511249    0.0000000000
 1158.0000    1.511237    0.0000000000
 1159.0000    1.511226    0.0000000000
 1160.0000    1.511214    0.0000000000
 1161.0000    1.511203    0.0000000000
 1162.0000    1.511191    0.0000000000
 1163.0000    1.511179    0.0000000000
 1164.0000    1.511168    0.0000000000
 1165.0000    1.511156    0.0000000000
 1166.0000    1.511145    0.0000000000
 1167.0000    1.511134    0.0000000000
 1168.0000    1.511122    0.0000000000
 1169.0000    1.511111    0.0000000000
 1170.0000    1.511099    0.0000000000
 1171.0000    1.511088    0.0000000000
 1172.0000    1.511076    0.0000000000
 1173.0000    1.511065    0.0000000000
 1174.0000    1.511053    0.0000000000
 1175.0000    1.511042    0.0000000000
 1176.0000    1.511031    0.0000000000
 1177.0000    1.511019    0.0000000000
 1178.0000    1.511008    0.0000000000
 1179.0000    1.510996    0.0000000000
 1180.0000    1.510985    0.0000000000
 1181.0000    1.510974    0.0000000000
 1182.0000    1.510962    0.0000000000
 1183.0000    1.510951    0.0000000000
 1184.0000    1.510939    0.0000000000
 1185.0000    1.510928    0.0000000000
 1186.0000    1.510917    0.0000000000
 1187.0000    1.510905    0.0000000000
 1188.0000    1.510894    0.0000000000
 1189.0000    1.510883    0.0000000000
 1190.0000    1.510871    0.0000000000
 1191.0000    1.510860    0.0000000000
 1192.0000    1.510849    0.0000000000
 1193.0000    1.510838    0.0000000000
 1194.0000    1.510826    0.0000000000
 1195.0000    1.510815    0.0000000000
 1196.0000    1.510804    0.0000000000
 1197.0000    1.510792    0.0000000000
 1198.0000    1.510781    0.0000000000
 1199.0000    1.510770    0.0000000000
 1200.0000    1.510759    0.0000000000
