OptiLayer Substrate/Incident/Exit Medium Report, version: 15.12
15.01.2023 17:25:26
Root directory:    c:\users\public\documents\optilayer_2021-dez\
Problem directory: VPT_NBPF-656nm_LEE-2
**********************************************************

Units: L: nm, Sp: nm

Substrate/Incident/Exit Medium file: B 270 actual
Comment: valid range: 300 nm to 2500 nm

  n given by the dispersion table (linear interpolation)
  k given by the dispersion table (linear interpolation)
 Wavelength       n            k
  515.0000    1.527074    0.0000000000
  516.0000    1.527006    0.0000000000
  517.0000    1.526938    0.0000000000
  518.0000    1.526871    0.0000000000
  519.0000    1.526804    0.0000000000
  520.0000    1.526738    0.0000000000
  521.0000    1.526672    0.0000000000
  522.0000    1.526606    0.0000000000
  523.0000    1.526541    0.0000000000
  524.0000    1.526476    0.0000000000
  525.0000    1.526412    0.0000000000
  526.0000    1.526348    0.0000000000
  527.0000    1.526284    0.0000000000
  528.0000    1.526221    0.0000000000
  529.0000    1.526158    0.0000000000
  530.0000    1.526095    0.0000000000
  531.0000    1.526033    0.0000000000
  532.0000    1.525971    0.0000000000
  533.0000    1.525910    0.0000000000
  534.0000    1.525848    0.0000000000
  535.0000    1.525788    0.0000000000
  536.0000    1.525727    0.0000000000
  537.0000    1.525667    0.0000000000
  538.0000    1.525607    0.0000000000
  539.0000    1.525547    0.0000000000
  540.0000    1.525488    0.0000000000
  541.0000    1.525429    0.0000000000
  542.0000    1.525371    0.0000000000
  543.0000    1.525313    0.0000000000
  544.0000    1.525255    0.0000000000
  545.0000    1.525197    0.0000000000
  546.0000    1.525140    0.0000000000
  547.0000    1.525083    0.0000000000
  548.0000    1.525026    0.0000000000
  549.0000    1.524970    0.0000000000
  550.0000    1.524914    0.0000000000
  551.0000    1.524858    0.0000000000
  552.0000    1.524803    0.0000000000
  553.0000    1.524748    0.0000000000
  554.0000    1.524693    0.0000000000
  555.0000    1.524638    0.0000000000
  556.0000    1.524584    0.0000000000
  557.0000    1.524530    0.0000000000
  558.0000    1.524476    0.0000000000
  559.0000    1.524423    0.0000000000
  560.0000    1.524370    0.0000000000
  561.0000    1.524317    0.0000000000
  562.0000    1.524264    0.0000000000
  563.0000    1.524212    0.0000000000
  564.0000    1.524160    0.0000000000
  565.0000    1.524108    0.0000000000
  566.0000    1.524057    0.0000000000
  567.0000    1.524005    0.0000000000
  568.0000    1.523954    0.0000000000
  569.0000    1.523904    0.0000000000
  570.0000    1.523853    0.0000000000
  571.0000    1.523803    0.0000000000
  572.0000    1.523753    0.0000000000
  573.0000    1.523703    0.0000000000
  574.0000    1.523654    0.0000000000
  575.0000    1.523605    0.0000000000
  576.0000    1.523556    0.0000000000
  577.0000    1.523507    0.0000000000
  578.0000    1.523459    0.0000000000
  579.0000    1.523410    0.0000000000
  580.0000    1.523362    0.0000000000
  581.0000    1.523315    0.0000000000
  582.0000    1.523267    0.0000000000
  583.0000    1.523220    0.0000000000
  584.0000    1.523173    0.0000000000
  585.0000    1.523126    0.0000000000
  586.0000    1.523080    0.0000000000
  587.0000    1.523033    0.0000000000
  588.0000    1.522987    0.0000000000
  589.0000    1.522941    0.0000000000
  590.0000    1.522896    0.0000000000
  591.0000    1.522850    0.0000000000
  592.0000    1.522805    0.0000000000
  593.0000    1.522760    0.0000000000
  594.0000    1.522715    0.0000000000
  595.0000    1.522671    0.0000000000
  596.0000    1.522626    0.0000000000
  597.0000    1.522582    0.0000000000
  598.0000    1.522538    0.0000000000
  599.0000    1.522495    0.0000000000
  600.0000    1.522451    0.0000000000
  601.0000    1.522408    0.0000000000
  602.0000    1.522365    0.0000000000
  603.0000    1.522322    0.0000000000
  604.0000    1.522279    0.0000000000
  605.0000    1.522237    0.0000000000
  606.0000    1.522194    0.0000000000
  607.0000    1.522152    0.0000000000
  608.0000    1.522110    0.0000000000
  609.0000    1.522069    0.0000000000
  610.0000    1.522027    0.0000000000
  611.0000    1.521986    0.0000000000
  612.0000    1.521945    0.0000000000
  613.0000    1.521904    0.0000000000
  614.0000    1.521863    0.0000000000
  615.0000    1.521822    0.0000000000
  616.0000    1.521782    0.0000000000
  617.0000    1.521742    0.0000000000
  618.0000    1.521702    0.0000000000
  619.0000    1.521662    0.0000000000
  620.0000    1.521622    0.0000000000
  621.0000    1.521583    0.0000000000
  622.0000    1.521544    0.0000000000
  623.0000    1.521504    0.0000000000
  624.0000    1.521465    0.0000000000
  625.0000    1.521427    0.0000000000
  626.0000    1.521388    0.0000000000
  627.0000    1.521350    0.0000000000
  628.0000    1.521311    0.0000000000
  629.0000    1.521273    0.0000000000
  630.0000    1.521235    0.0000000000
  631.0000    1.521198    0.0000000000
  632.0000    1.521160    0.0000000000
  633.0000    1.521123    0.0000000000
  634.0000    1.521085    0.0000000000
  635.0000    1.521048    0.0000000000
  636.0000    1.521011    0.0000000000
  637.0000    1.520974    0.0000000000
  638.0000    1.520938    0.0000000000
  639.0000    1.520901    0.0000000000
  640.0000    1.520865    0.0000000000
  641.0000    1.520829    0.0000000000
  642.0000    1.520793    0.0000000000
  643.0000    1.520757    0.0000000000
  644.0000    1.520721    0.0000000000
  645.0000    1.520686    0.0000000000
  646.0000    1.520650    0.0000000000
  647.0000    1.520615    0.0000000000
  648.0000    1.520580    0.0000000000
  649.0000    1.520545    0.0000000000
  650.0000    1.520510    0.0000000000
  651.0000    1.520476    0.0000000000
  652.0000    1.520441    0.0000000000
  653.0000    1.520407    0.0000000000
  654.0000    1.520372    0.0000000000
  655.0000    1.520338    0.0000000000
  656.0000    1.520304    0.0000000000
  657.0000    1.520271    0.0000000000
  658.0000    1.520237    0.0000000000
  659.0000    1.520203    0.0000000000
  660.0000    1.520170    0.0000000000
  661.0000    1.520137    0.0000000000
  662.0000    1.520104    0.0000000000
  663.0000    1.520071    0.0000000000
  664.0000    1.520038    0.0000000000
  665.0000    1.520005    0.0000000000
  666.0000    1.519972    0.0000000000
  667.0000    1.519940    0.0000000000
  668.0000    1.519908    0.0000000000
  669.0000    1.519875    0.0000000000
  670.0000    1.519843    0.0000000000
  671.0000    1.519811    0.0000000000
  672.0000    1.519780    0.0000000000
  673.0000    1.519748    0.0000000000
  674.0000    1.519716    0.0000000000
  675.0000    1.519685    0.0000000000
  676.0000    1.519653    0.0000000000
  677.0000    1.519622    0.0000000000
  678.0000    1.519591    0.0000000000
  679.0000    1.519560    0.0000000000
  680.0000    1.519529    0.0000000000
  681.0000    1.519499    0.0000000000
  682.0000    1.519468    0.0000000000
  683.0000    1.519438    0.0000000000
  684.0000    1.519407    0.0000000000
  685.0000    1.519377    0.0000000000
  686.0000    1.519347    0.0000000000
  687.0000    1.519317    0.0000000000
  688.0000    1.519287    0.0000000000
  689.0000    1.519257    0.0000000000
  690.0000    1.519227    0.0000000000
  691.0000    1.519198    0.0000000000
  692.0000    1.519168    0.0000000000
  693.0000    1.519139    0.0000000000
  694.0000    1.519110    0.0000000000
  695.0000    1.519081    0.0000000000
  696.0000    1.519052    0.0000000000
  697.0000    1.519023    0.0000000000
  698.0000    1.518994    0.0000000000
  699.0000    1.518965    0.0000000000
  700.0000    1.518936    0.0000000000
  701.0000    1.518908    0.0000000000
  702.0000    1.518880    0.0000000000
  703.0000    1.518851    0.0000000000
  704.0000    1.518823    0.0000000000
  705.0000    1.518795    0.0000000000
  706.0000    1.518767    0.0000000000
  707.0000    1.518739    0.0000000000
  708.0000    1.518711    0.0000000000
  709.0000    1.518684    0.0000000000
  710.0000    1.518656    0.0000000000
  711.0000    1.518629    0.0000000000
  712.0000    1.518601    0.0000000000
  713.0000    1.518574    0.0000000000
  714.0000    1.518547    0.0000000000
  715.0000    1.518520    0.0000000000
  716.0000    1.518493    0.0000000000
  717.0000    1.518466    0.0000000000
  718.0000    1.518439    0.0000000000
  719.0000    1.518412    0.0000000000
  720.0000    1.518386    0.0000000000
  721.0000    1.518359    0.0000000000
  722.0000    1.518333    0.0000000000
  723.0000    1.518306    0.0000000000
  724.0000    1.518280    0.0000000000
  725.0000    1.518254    0.0000000000
  726.0000    1.518228    0.0000000000
  727.0000    1.518202    0.0000000000
  728.0000    1.518176    0.0000000000
  729.0000    1.518150    0.0000000000
  730.0000    1.518124    0.0000000000
  731.0000    1.518099    0.0000000000
  732.0000    1.518073    0.0000000000
  733.0000    1.518048    0.0000000000
  734.0000    1.518022    0.0000000000
  735.0000    1.517997    0.0000000000
  736.0000    1.517972    0.0000000000
  737.0000    1.517947    0.0000000000
  738.0000    1.517922    0.0000000000
  739.0000    1.517897    0.0000000000
  740.0000    1.517872    0.0000000000
  741.0000    1.517847    0.0000000000
  742.0000    1.517822    0.0000000000
  743.0000    1.517798    0.0000000000
  744.0000    1.517773    0.0000000000
  745.0000    1.517749    0.0000000000
  746.0000    1.517724    0.0000000000
  747.0000    1.517700    0.0000000000
  748.0000    1.517676    0.0000000000
  749.0000    1.517652    0.0000000000
  750.0000    1.517628    0.0000000000
  751.0000    1.517604    0.0000000000
  752.0000    1.517580    0.0000000000
  753.0000    1.517556    0.0000000000
  754.0000    1.517532    0.0000000000
  755.0000    1.517508    0.0000000000
  756.0000    1.517485    0.0000000000
  757.0000    1.517461    0.0000000000
  758.0000    1.517438    0.0000000000
  759.0000    1.517414    0.0000000000
  760.0000    1.517391    0.0000000000
